,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Spencer,Dinwiddie,PG,26,195.58,215,2,56,2.7,6.2,0.839,9.8,0.506,6.1,0.306,0.2,30,2.8,50,6.2,80,28.26923077,0.9,0.5,89.4,EX,,,
players,Kevin,Durant,PF,31,208.28,240,2,74,2.7,6.2,0.883,12.1,0.586,5.4,0.384,0.5,0,6.6,42.5,5.4,80,15.32258065,0.8,1.5,102.3,HF,,,
players,Henry,Ellenson,PF,23,208.28,240,2,35,0,0,0.6,0,0.55,0,0.215,0,0,0,5,0,80,20.65217391,0,0,9,,,,
players,Joe,Harris,SF,28,198.12,220,2,53,1.4,1.1,0.815,5,0.529,6.4,0.438,0.9,30,3,36.5,2.1,80,26.96428571,0.7,0.3,94.5,,,,
players,Kyrie,Irving,PG,27,187.96,195,2,62,2.4,5.7,0.937,14.6,0.503,8.3,0.341,0.9,35,4.5,44,7.2,80,37.59259259,1.1,0.5,101.4,CG,,,
players,DeAndre,Jordan,C,31,210.82,265,2,80,1,2.2,0.696,4.8,0.693,0,0,2.4,35,7,5,2,80,32.82258065,0.4,1,64.2,SP,,,
players,Rodions,Kurucs,PF,21,205.74,228,2,68,1.2,0.6,0.333,1.6,0.375,0.7,0.429,0.5,0,1.7,9.5,0.1,80,17.61904762,0.5,0,29.7,,,,
players,Caris,LeVert,SG,25,198.12,205,2,53,3.4,3.4,0.645,11.6,0.442,4,0.361,1.1,0,3.9,54.5,4,80,11.5,0.7,0.1,94.8,PT,,,
players,Timothe,Luwawu-Cabarrot,SG,24,200.66,220,2,35,0,1,0.5,0.5,0,0.5,0,0,0,0,5,0,80,19.79166667,0,0,9,,,,
players,Dzanan,Musa,SF,20,205.74,217,2,59,1.2,1.6,0.742,2.4,0.457,2.5,0.191,0.5,0,2.1,14,1.3,80,16.25,0.5,0.1,46.5,,,,
players,David,Nwaba,SF,27,195.58,219,2,65,0.4,1.3,0.6,1.9,0.581,1.1,0.444,0.4,0,1.7,18.5,0.3,80,17.59259259,0.4,0.6,37.8,,,,
players,Theo,Pinson,SG,24,195.58,212,2,59,1.5,0.8,0.917,3.5,0.365,3.1,0.217,0.5,0,1.7,8,2.3,80,12.29166667,0.5,0.1,44.7,,,,
players,Taurean,Prince,PF,25,200.66,218,2,62,2.1,1.4,0.727,5,0.405,6.8,0.393,0.8,0,5.3,24.5,2.3,80,19,0.9,0.4,91.8,,,,
players,Garrett,Temple,SG,33,195.58,195,2,59,1.1,1,0.76,2.7,0.554,6.1,0.356,0.5,30,2.6,23,2.4,80,21.89393939,1,0.5,83.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dwayne,Bacon,SG,24,198.12,221,3,50,1,1.6,0.71,5.7,0.345,2.2,0.233,0.5,0,2.2,24.5,1.3,80,2.291666667,0.8,0.1,57.3,,,,
players,Nicolas,Batum,SF,31,205.74,230,3,53,1.4,0.4,1,0.9,0.538,2.4,0.273,1.1,25,3.1,5,3.1,80,17.82258065,0.8,0.5,65.7,IH,,,
players,Bismack,Biyombo,C,27,203.2,255,3,53,0.6,3,0.587,5.1,0.57,0,0,1.8,25,3,12.5,0.8,80,20.09259259,0.2,0.7,51.6,,,,
players,Miles,Bridges,SF,21,198.12,225,3,44,1.6,1.7,0.739,6.9,0.47,4.4,0.392,1.3,0,3.9,30.5,1.8,80,20.11904762,0.5,0.8,93,SP,,,
players,Devonte',Graham,PG,24,185.42,195,3,38,3,4.1,0.809,6.6,0.397,8.9,0.429,1.1,35,2.6,44,7.6,80,39.79166667,0.7,0.2,101.4,EX,,,
players,Willy,Hernangomez,C,25,210.82,250,3,56,0.6,1,0.5,2,0.438,0.8,0.333,1.1,0,1.5,5,0.3,80,16.5,0.1,0.4,22.5,,,,
players,Michael,Kidd-Gilchrist,SF,26,198.12,232,3,44,0.6,1,0.8,4.2,0.381,2.2,0.273,1.2,0,2.6,5,1,80,15.76923077,0,0.4,45.6,,,,
players,Caleb,Martin,SF,24,195.58,205,3,62,0.8,0.8,0.333,1.8,0.429,0.8,0,0.3,0,1,12.5,0.8,80,17.29166667,0.3,0.5,21,R,,,
players,Cody,Martin,SF,24,195.58,205,3,59,0.5,1.3,0.696,1.6,0.552,1.2,0.095,0.5,0,1.7,18.5,1.2,80,19.79166667,0.7,0.1,36,R,,,
players,Jalen,McDaniels,PF,22,208.28,205,3,23,0,0,0.6,2,0.5,0,0.25,1,0,0,5,0,80,21.59090909,0,0,9,R,,,
players,Malik,Monk,SG,21,190.5,200,3,44,1.4,1.4,0.833,4.2,0.587,3.8,0.273,0.3,0,2.3,24.5,2.2,80,15.11904762,0.4,0.2,61.2,SP,,,
players,Terry,Rozier III,SG,25,185.42,190,3,47,2.7,2.9,0.87,7.7,0.45,6.6,0.401,0.8,25,3.9,38,4.3,80,24,1.1,0.1,99,,,,
players,P.J.,Washington Jr.,PF,21,200.66,230,3,53,1.3,2.6,0.71,5.7,0.532,3.4,0.419,0.9,30,4.1,29,1.7,80,32.61904762,1,0.9,87.3,R,,,
players,Marvin,Williams,PF,33,203.2,237,3,50,0.7,1.3,0.9,2.2,0.635,3.1,0.4,0.4,25,2.4,9.5,1,80,19.39393939,0.7,0.4,60.9,,,,
players,Cody,Zeller,C,27,213.36,240,3,56,1.6,2.5,0.678,6.6,0.597,1.8,0.333,2.8,25,4.8,17,1.2,80,20.09259259,0.6,0.5,69.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ryan,Arcidiacono,PG,25,190.5,195,4,62,0.7,0.8,0.75,1.3,0.303,2.2,0.393,0.5,0,1.1,9.5,1.6,80,16.5,0.5,0.1,47.4,,,,
players,Wendell,Carter Jr.,C,20,205.74,270,4,77,1.5,3.8,0.707,7.7,0.603,0.6,0.133,3.5,30,6.3,20,1,80,33.75,0.7,0.8,89.1,,,,
players,Kris,Dunn,PG,25,190.5,205,4,86,1,0.7,0.737,4.6,0.542,2.3,0.183,0.5,30,2.7,35,2.9,80,29,2,0.3,65.1,,,,
players,Daniel,Gafford,C,21,208.28,234,4,68,0.2,1.2,0.476,2.7,0.739,0,0,0.8,25,0.9,9.5,0.2,80,27.61904762,0.1,0.9,31.5,R,,,
players,Shaquille,Harrison,SG,26,200.66,190,4,83,0.4,1.1,0.611,2.4,0.436,0.6,0.3,0.4,25,1.5,17,1.4,80,20.76923077,0.5,0.3,26.4,,,,
players,Chandler,Hutchison,SF,23,200.66,210,4,77,1.3,3.2,0.655,3.6,0.469,1.3,0.417,0.1,0,3.6,32,0.9,80,18.15217391,0.6,0.2,51.3,,,,
players,Luke,Kornet,C,24,218.44,250,4,71,0.2,0.4,1,1.5,0.476,1.9,0.185,0.4,0,1.1,8,0.4,80,17.29166667,0.1,0.7,30.3,,,,
players,Zach,LaVine,SG,24,198.12,200,4,71,3.4,5.2,0.806,10.3,0.449,7.5,0.418,0.7,35,3.7,45.5,4,80,37.29166667,1.2,0.5,97.5,SP,,,
players,Lauri,Markkanen,PF,22,213.36,240,4,74,1.9,4.1,0.811,5.7,0.463,6,0.327,1,25,5.6,30.5,1.7,80,24.09090909,0.8,0.5,89.7,,,,
players,Otto,Porter,SF,26,203.2,198,4,68,0.8,2.2,0.75,4.9,0.432,4.4,0.4,0.9,25,2.6,32,1.6,80,20.76923077,1,0.3,75.3,,,,
players,Tomas,Satoransky,PG,28,200.66,210,4,71,2.1,1.6,0.881,4.7,0.475,2.9,0.395,0.8,30,2.5,24.5,5.3,80,24.46428571,1.5,0.1,81.6,,,,
players,Max,Strus,SG,23,195.58,215,4,47,0,0.5,1,1,1,0.5,0,0.5,0,0,5,0,80,20.65217391,0,0,9,R,,,
players,Denzel,Valentine,SF,26,193.04,220,4,80,0.3,0.2,1,1.9,0.565,3.6,0.419,0.2,25,1.8,12.5,1.3,80,23.26923077,0.7,0.3,35.7,EX,,,
players,Coby,White,PG,19,193.04,195,4,65,1.5,1.8,0.792,6.2,0.391,5.8,0.338,0.3,0,3.4,39.5,2.5,80,17.5,0.7,0,75.9,R,,,
players,Thaddeus,Young,PF,31,203.2,235,4,74,1.6,1.2,0.567,5.5,0.453,3.3,0.341,1.5,0,2.8,23,1.7,80,15.32258065,1,0.3,64.8,,,,
